CHR	POS	ID	HOMREF	HET	HOMVAR
4	177855678	rs1545090	NaN	NaN	80.0
4	184811263	rs2871379	NaN	NaN	67.0
4	190538070	rs62323772	1.0	13.0	5.0
5	3276081	rs4866540	NaN	52.0	72.0
5	10958957	rs852590	NaN	NaN	74.0
5	20435939	rs12697584	85.0	80.5	NaN
5	29069162	rs658439	73.0	53.0	NaN
5	36740339	rs36676	NaN	NaN	75.0
5	49438828	rs137880658	249.0	250.0	NaN
5	58243302	rs457566	NaN	86.0	73.5
5	70856663	rs157045	79.0	77.5	NaN
5	80900719	rs2917540	NaN	81.0	78.0
5	93119893	rs6879620	NaN	82.5	74.0
5	102962771	rs6866105	NaN	66.0	67.0
5	112750674	rs9716322	75.0	49.0	NaN
5	121302662	.	NaN	47.0	NaN
5	132377304	rs72801439	71.5	76.0	NaN
5	144321895	rs35068704	68.0	67.5	NaN
5	154441640	rs467330	72.5	90.0	NaN
5	164600452	rs7711548	NaN	NaN	66.0
5	174249229	rs11739079	54.0	68.0	NaN
6	1620147	rs2569882	NaN	11.0	13.5
6	9408051	rs11751621	NaN	81.5	78.0
6	18687376	rs9383429	79.0	74.0	NaN
6	26687649	.	142.0	134.0	NaN
6	35346891	.	NaN	62.0	NaN
6	45421630	rs1343799	NaN	76.0	88.0
6	55412503	rs12201934	58.5	65.0	NaN
6	71018445	rs1321063	63.0	59.0	NaN
6	79887872	rs6454101	NaN	69.0	NaN
6	89947117	rs9942462	NaN	NaN	60.0
6	110345430	rs56272355	76.5	77.0	NaN
6	120734422	rs62424426	66.0	76.0	NaN
6	131725921	.	66.5	49.0	NaN
6	143691852	rs17792267	69.0	62.0	72.0
6	154006585	rs7752561	67.5	88.0	NaN
6	162459664	rs2849564	60.0	70.5	NaN
7	4683258	rs62450857	55.5	80.0	NaN
7	12502849	rs848025	NaN	74.5	71.0
7	29544610	rs6462145	NaN	62.5	64.0
7	38984187	rs118081099	60.5	61.0	NaN
7	48862174	rs965346	70.0	54.0	NaN
7	56584972	rs34475770	91.0	82.0	NaN
7	62232046	.	77.0	76.0	NaN
7	69334430	rs917719	66.0	63.5	NaN
7	79508376	rs2525826	71.5	53.0	NaN
7	89752110	rs39232	NaN	NaN	70.0
7	101161506	rs2158739	NaN	50.0	61.0
7	110843795	rs214455	NaN	NaN	86.0
7	124589684	rs12113765	NaN	79.0	85.0
7	144383888	rs73161092	87.0	80.0	NaN
7	152208470	rs6464236	NaN	58.0	55.5
7	158686803	rs55765467	NaN	97.0	NaN
8	4048009	rs7007410	NaN	68.0	NaN
8	8974322	rs28440961	57.0	66.5	NaN
8	14463368	rs1355302	78.0	79.0	NaN
8	21736923	rs13256921	30.5	32.0	NaN
8	42044954	rs1058720	NaN	50.5	56.0
8	56608897	rs57623198	78.0	75.5	NaN
8	66327344	rs13282622	NaN	66.0	60.0
8	78181000	rs1563030	NaN	70.0	61.0
8	90278211	rs11998540	25.0	22.0	NaN
8	102355800	rs10103956	58.0	65.5	NaN
8	113376378	rs41340951	NaN	72.0	67.0
8	123499998	rs9693135	61.0	73.0	NaN
8	132727531	rs7000409	75.0	72.5	NaN
8	140651779	rs1469039	NaN	47.0	NaN
9	2072356	rs4741641	85.0	79.0	NaN
9	16302655	rs9298755	61.0	69.5	NaN
9	25201692	rs9408058	NaN	NaN	81.0
9	44998848	.	NaN	70.5	52.0
9	69810010	rs113063015	NaN	241.0	NaN
9	78741390	rs7049138	58.0	70.0	40.0
9	89010476	rs164937	69.5	77.0	NaN
9	98491693	rs12337935	NaN	34.0	29.0
9	109619207	rs4743032	62.0	76.0	76.0
9	130235282	.	88.0	72.0	NaN
9	138617823	rs55724592	26.0	20.0	NaN
10	4588547	rs313427	64.0	70.0	NaN
10	11560326	rs4424580	75.0	66.0	NaN
10	19567676	rs61458006	71.0	53.0	NaN
10	29082980	.	NaN	34.0	NaN
10	38560911	rs80189231	NaN	111.0	NaN
10	56495833	rs6481118	NaN	NaN	68.0
10	65355538	rs10733794	63.0	65.0	65.0
10	74020452	rs72806301	41.0	47.0	NaN
10	85258657	rs4454662	NaN	NaN	69.0
10	95435201	rs2422323	NaN	69.5	64.0
10	106444111	rs72813617	73.0	51.0	NaN
10	116646860	rs4752347	NaN	67.0	63.0
10	125452232	rs7900707	NaN	64.0	61.0
10	132949760	rs10829924	75.0	65.0	NaN
11	10741836	rs72853043	61.5	51.0	NaN
11	19325064	rs793250	NaN	54.0	74.5
11	26026566	rs7942277	NaN	NaN	53.0
11	35980461	rs263087	NaN	63.5	59.0
11	44985620	rs7106313	61.5	39.0	NaN
11	55040918	rs187118824	25.0	19.5	NaN
11	65339346	rs1194104	57.0	66.0	NaN
11	75978490	rs655877	NaN	31.0	48.0
11	86061661	rs11825046	NaN	99.5	83.0
11	103989190	rs1545865	NaN	75.5	68.0
11	113825129	rs1150234	NaN	67.0	NaN
11	123470819	rs1148095	NaN	86.0	78.0
11	132780959	rs61906922	87.5	88.0	NaN
12	5922552	rs17786352	88.0	71.5	NaN
12	12560642	rs10772559	NaN	77.0	66.0
12	21328424	rs4149040	83.0	84.5	NaN
12	29935607	rs7305813	70.0	63.0	NaN
12	39118960	rs79977305	82.5	98.0	NaN
12	48120010	rs3829317	NaN	51.0	55.5
12	58867437	rs140632614	NaN	54.0	36.0
12	79238948	rs10778234	NaN	77.0	NaN
12	90856710	rs825945	80.0	56.5	NaN
12	101460237	rs7965836	NaN	83.0	NaN
12	112830546	rs150699511	62.0	55.0	NaN
12	122942070	rs10744217	59.0	71.0	49.0
12	130522866	rs1613499	NaN	NaN	39.0
13	21520045	rs9509464	NaN	NaN	71.0
13	28463938	rs954750	77.0	82.5	NaN
13	37484693	rs1571317	76.5	76.0	NaN
13	46407442	rs11147990	67.0	69.0	63.0
13	56456878	rs2997102	NaN	NaN	88.0
13	65275154	rs359338	38.0	67.5	NaN
13	74611546	rs73214804	53.5	57.0	NaN
13	83670546	.	55.0	61.5	NaN
13	92742124	rs2148446	68.0	72.5	NaN
13	101976707	rs527328	NaN	NaN	88.0
13	109990322	rs7328109	NaN	87.0	79.0
14	20313371	rs10137604	98.0	78.5	NaN
14	38160457	rs2181345	NaN	NaN	56.0
14	47568119	rs1952206	NaN	75.0	NaN
14	56951735	rs1189276	NaN	82.0	76.5
14	68051087	rs11628035	78.0	77.0	81.0
14	87263523	rs2542229	NaN	NaN	77.0
14	96490389	rs72702859	78.0	86.0	100.0
14	106085773	rs2955055	NaN	65.0	NaN
15	23743658	rs142070302	NaN	139.0	NaN
15	42065422	rs2925337	NaN	NaN	54.0
15	53677501	.	NaN	72.0	NaN
15	62088952	rs35033959	NaN	80.0	NaN
15	71657506	.	41.0	46.0	NaN
15	92857342	rs12101550	NaN	75.0	NaN
15	100799787	rs4965610	NaN	76.0	NaN
16	5754758	rs11644707	56.0	52.5	NaN
16	11397080	rs1019552	NaN	NaN	48.0
16	30509723	rs7193693	57.0	53.0	NaN
16	34610294	rs72812776	96.5	77.0	NaN
16	55910673	rs17265788	67.0	66.0	75.0
16	65776985	rs72784548	NaN	63.5	68.0
16	83153777	rs4395063	NaN	67.5	70.0
16	88914235	rs12932521	36.0	42.0	NaN
17	5764764	rs2309483	NaN	49.0	52.5
17	14096866	.	NaN	58.0	NaN
17	21547285	rs62049731	NaN	177.0	NaN
17	33513649	rs3744366	NaN	73.0	67.0
17	44809197	rs116187585	NaN	NaN	84.0
17	55158811	rs7217371	NaN	72.0	NaN
17	66991216	rs61697543	92.0	68.0	NaN
18	1629264	rs5025369	42.0	53.5	NaN
18	10010426	rs4797393	NaN	72.5	65.0
18	20025030	rs4800406	71.0	88.0	NaN
18	41449098	rs2045671	NaN	NaN	76.0
18	50973169	rs11661305	NaN	67.0	64.5
18	67950442	rs62091919	57.0	69.0	NaN
18	75204349	rs9948476	63.0	59.0	NaN
19	3739001	rs56138006	31.0	43.5	NaN
19	11730690	rs4804613	NaN	63.0	NaN
19	20782710	rs10413568	NaN	NaN	74.0
19	28150587	rs4404191	NaN	NaN	70.0
19	37226152	rs3108217	NaN	58.0	29.0
19	54644879	rs36636	58.0	64.5	NaN
20	3199373	rs2422861	NaN	40.0	NaN
20	12166868	rs7272217	65.0	70.0	NaN
20	21523349	rs73127889	86.0	83.5	NaN
20	29566945	rs6119037	94.0	88.5	NaN
20	41560394	rs761027	NaN	68.0	77.0
20	51353834	rs241795	NaN	88.5	91.0
20	59978756	rs1892320	NaN	67.0	72.0
21	10750991	.	250.0	242.5	NaN
21	18433036	rs969905	76.0	77.0	NaN
21	25702950	rs2260875	NaN	79.0	NaN
21	34546711	rs11701692	54.0	49.0	NaN
21	42833227	rs460904	NaN	NaN	54.0
22	17351507	rs5748687	NaN	83.0	89.0
22	34204930	rs13053313	24.0	34.0	NaN
22	43356130	rs6519353	71.0	81.0	76.0
22	50309915	rs9616205	39.0	61.5	NaN
X	4712340	rs5915814	34.0	71.0	NaN
X	42192093	rs58959554	60.5	69.0	NaN
X	66290558	rs1606094	75.0	101.0	37.0
X	84165195	rs5923187	55.0	84.0	NaN
X	95868251	.	20.0	35.0	NaN
X	116855730	rs980389	63.0	70.0	40.0
X	135282092	rs5974586	40.0	81.5	NaN
X	150239197	rs6627349	NaN	73.0	53.0
Y	13265732	.	72.0	35.0	NaN
Y	59024923	.	NaN	250.0	NaN
GL000214.1	115144	.	6.0	48.5	NaN
GL000215.1	142616	.	NaN	NaN	26.0
GL000212.1	28454	.	NaN	NaN	46.5
